state,county,cofips,race,sex,renters,variance
AL,LAUDERDALE,01077,other,male,101.545189504373,905.479801788452
AL,LAUDERDALE,01077,white,female,9081.07273158019,43433.3632524411
AL,LAUDERDALE,01077,white,male,7026.22316986496,26903.6557373428
AL,LAWRENCE,01079,asian,female,0,22.5995694792177
AL,LAWRENCE,01079,asian,male,0,527.951053667279
AL,LAWRENCE,01079,black,female,453.117112299465,2408.12297551106
AL,LAWRENCE,01079,black,male,326.816042780749,1265.26979053868
AL,LAWRENCE,01079,hisp,female,0,446.912718191326
AL,LAWRENCE,01079,hisp,male,0,761.330777856626
AL,LAWRENCE,01079,other,female,83.0263157894737,954.197902766764
AL,LAWRENCE,01079,other,male,53.1578947368421,393.665452772103
AL,LAWRENCE,01079,white,female,1888.52419121198,18134.4799605907
AL,LAWRENCE,01079,white,male,1623.16658619025,13441.4046316403
AL,LEE,01081,asian,female,948,928.145719650944
AL,LEE,01081,asian,male,1252,1217.37050701425
AL,LEE,01081,black,female,7996,6583.51759637689
AL,LEE,01081,black,male,4571,4109.40625207114
AL,LEE,01081,hisp,female,826,810.927073898155
AL,LEE,01081,hisp,male,1068,1042.8011929747
AL,LEE,01081,other,female,251,249.608174085938
AL,LEE,01081,other,male,657,647.463956699437
AL,LEE,01081,white,female,13589,9509.4480061858
AL,LEE,01081,white,male,14107,9710.50272837733
AL,LIMESTONE,01083,asian,female,140.094339622642,3224.93590220795
AL,LIMESTONE,01083,asian,male,194.094339622642,6152.10075447288
AL,LIMESTONE,01083,black,female,1332.70967741936,13902.4683559224
AL,LIMESTONE,01083,black,male,1258.48387096774,12426.3795965372
AL,LIMESTONE,01083,hisp,female,790.083081570997,45701.8660818923
AL,LIMESTONE,01083,hisp,male,636.077039274925,29721.0060506942
AL,LIMESTONE,01083,other,female,270.072429906542,866.754752790309
AL,LIMESTONE,01083,other,male,101.572429906542,172.496963117809
AL,LIMESTONE,01083,white,female,5411.19720322548,19841.4757093478
AL,LIMESTONE,01083,white,male,4681.29662141472,15202.1292970487
AL,LOWNDES,01085,asian,female,0,60.0847004090311
AL,LOWNDES,01085,asian,male,0,389.679992110553
AL,LOWNDES,01085,black,female,961.019676504919,4612.21571994631
AL,LOWNDES,01085,black,male,673.091545772886,2295.64755462736
AL,LOWNDES,01085,hisp,female,0,118.109341372418
AL,LOWNDES,01085,hisp,male,0,267.366416883275
AL,LOWNDES,01085,other,female,4.03147699757869,333.830081572379
AL,LOWNDES,01085,other,male,2.42130750605327,120.431255896875
AL,LOWNDES,01085,white,female,122.915745023125,965.910175059516
AL,LOWNDES,01085,white,male,95.977277297406,589.197989475793
AL,MACON,01087,asian,female,12.0623052959502,1339.41393305202
AL,MACON,01087,asian,male,5.92834890965732,323.638621937631
AL,MACON,01087,black,female,2248.29398239911,10708.6730524133
AL,MACON,01087,black,male,1725.50701657021,6385.32702133386
AL,MACON,01087,hisp,female,26.6803278688525,656.62334312297
AL,MACON,01087,hisp,male,35.4043715846995,1155.74915687943
AL,MACON,01087,other,female,14.7447183098592,528.304245062133
AL,MACON,01087,other,male,16.681338028169,676.100046809878
AL,MACON,01087,white,female,168.253268189621,1592.6828480906
AL,MACON,01087,white,male,169.382807341872,1614.11170062867
AL,MADISON,01089,asian,female,1180.90566037736,16457.6076520707
AL,MADISON,01089,asian,male,1158.90566037736,6419.54662421468
AL,MADISON,01089,black,female,16686.5222913916,40951.4127323794
AL,MADISON,01089,black,male,11991.726655348,35399.6158882308
AL,MADISON,01089,hisp,female,2030.96487329501,13239.2097035349
AL,MADISON,01089,hisp,male,2832.61407497049,10266.3154275174
AL,MADISON,01089,other,female,885.557260142398,3451.23100409369
AL,MADISON,01089,other,male,1152.58254562364,1584.87322287146
AL,MADISON,01089,white,female,19710.3457477331,98302.5517682504
AL,MADISON,01089,white,male,18097.5899372125,73896.1102518684
AL,MARENGO,01091,asian,female,0,1896.48979591837
AL,MARENGO,01091,asian,male,0,0
