,state,county,cofips,race,sex,renters,variance
274,AL,ETOWAH,1055,hisp,male,692.0,668.965510606571
275,AL,ETOWAH,1055,other,female,87.0,86.6359132233393
276,AL,ETOWAH,1055,other,male,199.0,197.09509836933
277,AL,ETOWAH,1055,white,female,7369.0,4756.93780364616
278,AL,ETOWAH,1055,white,male,6331.0,4402.98225022849
279,AL,FAYETTE,1057,asian,female,0.0,0.0
280,AL,FAYETTE,1057,asian,male,0.0,2542.67146252481
281,AL,FAYETTE,1057,black,female,381.714381270903,5068.47688007865
282,AL,FAYETTE,1057,black,male,270.088294314381,2558.08585938545
283,AL,FAYETTE,1057,hisp,female,12.2550724637681,262.541264178754
284,AL,FAYETTE,1057,hisp,male,14.3246376811594,358.603256051682
285,AL,FAYETTE,1057,other,female,16.0051546391753,307.486656583278
286,AL,FAYETTE,1057,other,male,39.5257731958763,1867.20088093864
287,AL,FAYETTE,1057,white,female,1032.669,8559.91086344148
288,AL,FAYETTE,1057,white,male,820.9746,5428.59291943554
289,AL,FRANKLIN,1059,asian,female,24.0659340659341,4941.8213216243
290,AL,FRANKLIN,1059,asian,male,17.1428571428571,2508.08271078251
291,AL,FRANKLIN,1059,black,female,230.962343096234,3484.09990176754
292,AL,FRANKLIN,1059,black,male,163.882845188285,1757.37079480544
293,AL,FRANKLIN,1059,hisp,female,1007.64221824687,21015.6355577805
294,AL,FRANKLIN,1059,hisp,male,1049.08765652952,22752.0383972581
295,AL,FRANKLIN,1059,other,female,197.037900874636,2938.9644252802
296,AL,FRANKLIN,1059,other,male,96.2798833819242,720.096347911713
297,AL,FRANKLIN,1059,white,female,2446.50769959725,34705.9901427003
298,AL,FRANKLIN,1059,white,male,1892.91613361763,20842.0797119306
299,AL,GENEVA,1061,asian,female,0.0,447.110118776265
300,AL,GENEVA,1061,asian,male,0.0,146.435216357809
301,AL,GENEVA,1061,black,female,396.510638297872,4366.82542225185
302,AL,GENEVA,1061,black,male,290.382978723404,2345.36968406934
303,AL,GENEVA,1061,hisp,female,190.104938271605,3338.41216913615
304,AL,GENEVA,1061,hisp,male,230.567901234568,4903.81672446674
305,AL,GENEVA,1061,other,female,69.210295728368,586.706005375779
306,AL,GENEVA,1061,other,male,90.1478641840088,990.095463249744
307,AL,GENEVA,1061,white,female,1914.28801230941,22283.3528707422
